Ime stranke ,E-naslov,Skraj. ime. str. ,Kratica ,Sedež ,Naslov sedeža ,Zastopnik
Izola je naša,,,IJN,"Izola, Izola",Plenčičeva ulica 3,Paliska Eleonora
Lista za skupno občino Miklavž na D. P.,dusan.janzek@lista-miklavz.si,Lista za Miklavž,LM,"Miklavž na Dravskem polju, Miklavž na Dravskem polju",Cesta v Rogozo 4,Janžek Dušan
Dialog za napredek,info@strankadzn.si,Dialog,DzN,"Miklavž na Dravskem polju, Miklavž na Dravskem polju",Antoličičeva ulica 9,Paska Dejan
Oljka,info@oljka.org,,,"Koper, Koper",Burlinova ulica 1,Peroša Patrik
Koper je naš,info@kjn.si,,KJN,"Koper, Koper",Gortanov trg 15,Popovič Boris
Akacije,,,,"Koper, Koper",Ulica II. prekomorske brigade 13B,Krkoč Iztok
Lista Borisa Popoviča – Digitalizirajmo Slovenijo,info@LBP.si,,LBP,"Koper, Koper",Gortanov trg 15,Popovič Boris
Lista Aleša Bržana,info@listaalesabrzana.si,,LAB,"Koper, Koper",Čevljarska ulica 17,Bržan Aleš
NEUVRŠČENI ZA KOPER,peterbolcic@gmail.com,,,"Koper, Koper",Dolinska cesta 1D,Bolčič Peter
Lista zavedno Koper,,Zavedno Koper,LZK,"Koper, Pobegi",Cesta I. Istrske brigade 36,Greblo Patrik
Piran je naš,piranjenas@gmail.com,,PJN,"Piran, Lucija",Obala 114,Popovič Boris
Gibanje za občino Piran,,Gibanje Piran,GZOP,"Piran, Lucija",Liminjanska cesta 96,Franca Gabrijel
Narodna stranka dela,,Stranka dela,NSD,"Ajdovščina, Ajdovščina",Šibeniška ulica 21,Poljšak Marjan
Lista Sonce,info@mojesonce.si,Sonce,,"Brežice, Brežice",Černelčeva cesta 3,Kostevc Ivan
Stranka za Razvoj Občin in Krajev,,,ROK,"Brežice, Brežice",Linhartova ulica 11,Redenšek Gregor
Korak naprej,,,,"Brežice, Brežice",Cesta prvih borcev 43,Tomše Stanko
Naša Notranjska,info@nasanotranjska.si,,NaNo,"Cerknica, Cerknica",Cesta 4. maja 47,Turšič Vesna
Lista Metoda Marčuna za Domžale,,Za Domžale,LMM,"Domžale, Domžale",Ljubljanska cesta 64,Marčun Metod
